,U:0,U:1,,,arc_length,p,velMag
,0.5562,3.5004,,,17.596,-0.21744,3.54431355836359
,0.56121,3.4993,,,17.665,-0.21141,3.54401709280585
,0.56744,3.5048,,,17.734,-0.20608,3.55043816924052
,0.57243,3.4975,,,17.803,-0.19971,3.54403475644639
,0.57813,3.4939,,,17.872,-0.19396,3.54140812487067
,0.582,3.484,,,17.941,-0.18863,3.5322768860892
,0.58661,3.4787,,,18.01,-0.18377,3.5278130594038
,0.59229,3.4792,,,18.079,-0.17941,3.52925489078077
,0.59905,3.4856,,,18.148,-0.17555,3.53670302153008
,0.60689,3.4978,,,18.217,-0.17218,3.55005919839374
,0.61117,3.4926,,,18.286,-0.16935,3.54567109711265
,0.61448,3.4818,,,18.355,-0.1669,3.53560700734683
,0.61852,3.4745,,,18.424,-0.16475,3.529124146357
,0.6233,3.4707,,,18.493,-0.1629,3.52622480565264
,0.62878,3.4702,,,18.562,-0.16134,3.5267055913983
,0.63267,3.4635,,,18.631,-0.15981,3.52081007424428
,0.63754,3.4617,,,18.7,-0.15863,3.51991820098138
,0.64339,3.465,,,18.769,-0.15779,3.52422696376099
,0.65021,3.4732,,,18.838,-0.15732,3.53353806886243
,0.65642,3.4788,,,18.907,-0.15669,3.5401887882428
,0.6595,3.4699,,,18.976,-0.15526,3.53201730743211
,0.66293,3.4627,,,19.045,-0.15395,3.52558753612784
,0.66705,3.4587,,,19.114,-0.15286,3.52243685429562
,0.67185,3.4578,,,19.183,-0.15198,3.52246550905754
,0.67734,3.4601,,,19.252,-0.15131,3.52577388463866
,0.68207,3.4599,,,19.321,-0.15037,3.52648940093402
,0.68707,3.4611,,,19.39,-0.14947,3.52863690323898
,0.69308,3.4667,,,19.459,-0.14883,3.53530320855227
,0.7001,3.4766,,,19.528,-0.14845,3.54639078077981
,0.7042,3.4734,,,19.597,-0.14845,3.54406619577005
,0.70776,3.4686,,,19.666,-0.14835,3.54007205824966
,0.71051,3.4618,,,19.735,-0.14769,3.53396147405429
,0.71374,3.4571,,,19.804,-0.14721,3.53000923477546
,0.71744,3.4546,,,19.873,-0.14689,3.52831139691496
,0.72162,3.4541,,,19.942,-0.14675,3.5286742885112
,0.72629,3.4558,,,20.011,-0.14677,3.5312959100166
,0.72999,3.4541,,,20.08,-0.1462,3.53039547502826
,0.73412,3.4544,,,20.149,-0.14578,3.53154520492093
,0.7389,3.4576,,,20.218,-0.14566,3.53567121916051
,0.74433,3.4636,,,20.287,-0.14582,3.54267584022304
,0.75043,3.4725,,,20.356,-0.14626,3.55266117648447
,0.75406,3.4692,,,20.425,-0.14617,3.5502049410703
,0.75692,3.4643,,,20.494,-0.14575,3.54602627971085
,0.76015,3.4609,,,20.563,-0.14548,3.54339622854967
,0.76375,3.4591,,,20.632,-0.14535,3.54241257796152
,0.76772,3.4588,,,20.701,-0.14537,3.54297776431069
,0.77207,3.4601,,,20.77,-0.14554,3.54519168662288
,0.77595,3.4605,,,20.839,-0.14545,3.54642900006471
,0.77964,3.4609,,,20.908,-0.14519,3.54762841058643
,0.78382,3.4632,,,20.977,-0.14508,3.55079259214052
